acteurs,date,descriptions,duree,episode,genre,langue,nb_saison,pays,public,score,titre,titre_original,url
"Ray Chase,Zach Aguilar,Keith Silverstein",2019– ,Thorfinn pursues a journey with his father's killer in order to take revenge and end his life in a duel as an honorable warrior and pay his father a homage.,24,25,"Animation,Action,Adventure",,2 seasons,Japan,TV-MA,9,Vinland Saga,,
"Jesse Armstrong,Sam Bain,Andrew O'Connor,David Mitchell,Robert Webb,Matt King",2003–2015,Mark and Jez are a couple of twenty-something roommates who have nothing in common - except for the fact that their lives are anything but normal. Mayhem ensues as the pair strive to cope with day-to-day life.,25,54,Comedy,,9 seasons,United Kingdom,TV-MA,9,Peep Show,,
"Jitendra Kumar,Raghuvir Yadav,Chandan Roy",2020– ,"A comedy-drama, which captures the journey of an engineering graduate Abhishek, who for lack of a better job option joins as secretary of a Panchayat office in a remote village of Uttar Pradesh.",35,16,"Comedy,Drama",,2 seasons,India,TV-14,9,Panchayat,,
"Satish Shah,Ratna Pathak Shah,Sumeet Raghavan",2004–2017,"The show revolves around the lives of the members of an Uber Wealthy - High Society Gujarati family of Cuffe Parade - South Bombay, whose daughter-in-law is from a middle class Delhi background.",30,79,Comedy,,2 seasons,India,TV-PG,9,Sarabhai V/S Sarabhai,,
"Shreyansh Pandey,Jameel Khan,Geetanjali Kulkarni,Vaibhav Raj Gupta",2019– ,"Set in quaint by-lanes in the heart of India, Gullak is a collection of disarming and relatable tales of the Mishra family.",24,15,"Comedy,Drama,Family",,3 seasons,India,,9,Gullak,,
"Robert Kirkman,Ryan Ottley,Cory Walker,Steven Yeun,J.K. Simmons,Sandra Oh",2021– ,An adult animated series based on the Skybound/Image comic about a teenager whose father is the most powerful superhero on the planet.,50,13,"Animation,Action,Adventure",,2 seasons,United States,TV-MA,9,Invincible,,
"Julian Fellowes,Hugh Bonneville,Phyllis Logan,Elizabeth McGovern",2010–2015,A chronicle of the lives of the British aristocratic Crawley family and their servants in the early twentieth century.,58,52,"Drama,Romance",,6 seasons,United Kingdom,TV-PG,9,Downton Abbey,,
"Millie Bobby Brown,Finn Wolfhard,Winona Ryder",2016– ,"When a young boy disappears, his mother, a police chief and his friends must confront terrifying supernatural forces in order to get him back.",51,42,"Drama,Fantasy,Horror",,5 seasons,United States,TV-14,9,Stranger Things,,
"Glen A. Larson,Ronald D. Moore,Edward James Olmos,Mary McDonnell,Jamie Bamber",2004–2009,"When an old enemy, the Cylons, resurface and obliterate the 12 colonies, the crew of the aged Galactica protect a small civilian fleet - the last of humanity - as they journey toward the fabled 13th colony, Earth.",44,74,"Action,Adventure,Drama",,4 seasons,United States,TV-14,9,Battlestar Galactica,,
"David Shore,Hugh Laurie,Omar Epps,Robert Sean Leonard",2004–2012,An antisocial maverick doctor who specializes in diagnostic medicine does whatever it takes to solve puzzling cases that come his way using his crack team of doctors and his wits.,44,176,"Drama,Mystery",,8 seasons,United States,TV-14,9,House,House M.D.,
"Phoebe Waller-Bridge,Phoebe Waller-Bridge,Sian Clifford,Olivia Colman",2016–2019,A comedy series adapted from the award-winning play about a young woman trying to cope with life in London whilst coming to terms with a recent tragedy.,27,12,"Comedy,Drama",,2 seasons,United Kingdom,TV-MA,9,Fleabag,,
"Makoto Furukawa,Kaito Ishikawa,Max Mittelman",2015–2019,"The story of Saitama, a hero that does it just for fun & can defeat his enemies with a single punch.",24,25,"Animation,Action,Comedy",,2 seasons,Japan,TV-PG,9,One Punch Man,One Punch Man: Wanpanman,
"James L. Brooks,Matt Groening,Sam Simon,Dan Castellaneta,Nancy Cartwright,Harry Shearer",1989– ,The satiric adventures of a working-class family in the misfit city of Springfield.,22,739,"Animation,Comedy",,34 seasons,United States,TV-14,9,The Simpsons,,
"Eric Kripke,Karl Urban,Jack Quaid,Antony Starr",2019– ,A group of vigilantes set out to take down corrupt superheroes who abuse their superpowers.,60,25,"Action,Comedy,Crime",,4 seasons,United States,TV-MA,9,The Boys,,
"Mamoru Miyano,Asami Imai,Kana Hanazawa",2011–2015,"After discovering time travel, a university student and his colleagues must use their knowledge of it to stop an evil organization and their diabolical plans.",24,26,"Animation,Comedy,Drama",,1 Season,Japan,TV-14,9,Steins;Gate,,
"Shawn Ryan,Michael Chiklis,Jay Karnes,Michael Jace",2002–2008,Drama series following the lives and cases of dirty cop Vic Mackey and the LAPD unit under his command.,47,89,"Crime,Drama,Thriller",,7 seasons,United States,TV-MA,9,The Shield,,
"Mitchell Hurwitz,Jason Bateman,Michael Cera,Portia de Rossi",2003–2019,"Level-headed son Michael Bluth takes over family affairs after his father is imprisoned. But the rest of his spoiled, dysfunctional family are making his job unbearable.",22,84,Comedy,,5 seasons,United States,TV-14,9,Arrested Development,,
"Jon Favreau,Pedro Pascal,Carl Weathers,Giancarlo Esposito",2019– ,"The travels of a lone bounty hunter in the outer reaches of the galaxy, far from the authority of the New Republic.",40,24,"Action,Adventure,Fantasy",,3 seasons,United States,TV-14,9,The Mandalorian,,
"Baran bo Odar,Jantje Friese,Louis Hofmann,Karoline Eichhorn,Lisa Vicari",2017–2020,"A family saga with a supernatural twist, set in a German town where the disappearance of two young children exposes the relationships among four families.",60,26,"Crime,Drama,Mystery",,3 seasons,"Germany,United States",TV-MA,9,Dark,,
"Tom Fontana,Ernie Hudson,J.K. Simmons,Lee Tergesen",1997–2003,A series chronicling the daily activities of an unusual prison facility and its criminal inhabitants.,55,56,"Crime,Drama,Thriller",,6 seasons,United States,TV-MA,9,Oz,,
"Brendan Hunt,Joe Kelly,Bill Lawrence,Jason Sudeikis,Brett Goldstein,Brendan Hunt",2020– ,"American college football coach Ted Lasso heads to London to manage AFC Richmond, a struggling English Premier League football team.",30,34,"Comedy,Drama,Sport",,2 seasons,United States,TV-MA,9,Ted Lasso,,
"Steven Knight,Cillian Murphy,Paul Anderson,Sophie Rundle",2013–2022,"A gangster family epic set in 1900s England, centering on a gang who sew razor blades in the peaks of their caps, and their fierce boss Tommy Shelby.",60,36,"Crime,Drama",,6 seasons,United Kingdom,TV-MA,9,Peaky Blinders,,
"Alan Ball,Peter Krause,Michael C. Hall,Frances Conroy",2001–2005,A chronicle of the lives of a dysfunctional family who run an independent funeral home in Los Angeles.,60,63,"Comedy,Drama",,5 seasons,United States,TV-MA,9,Six Feet Under,,
"Saurabh Khanna,Mayur More,Jitendra Kumar,Ranjan Raj",2019–2021,"Dedicated to Shrimati SL Loney ji, Shri Irodov ji and Maanniya HC Verma ji, 'Kota Factory' is TVF's latest original. India's first 'Black and White' show highlights the problems present day IIT-JEE aspirants face in their day-to-day lives.",45,10,"Comedy,Drama",,2 seasons,India,TV-14,9,Kota Factory,,
"Katie Krentz,Patrick McHale,Elijah Wood,Collin Dean,Melanie Lynskey",2014,Two brothers find themselves lost in a mysterious land and try to find their way home.,22,10,"Animation,Short,Adventure",,1 Season,United States,TV-PG,9,Over the Garden Wall,,
"Trey Parker,Matt Stone,Brian Graden,Trey Parker,Matt Stone,Isaac Hayes",1997– ,"Follows the misadventures of four irreverent grade-schoolers in the quiet, dysfunctional town of South Park, Colorado.",22,320,"Animation,Comedy",,25 seasons,United States,TV-14,9,South Park,,
"Eiichirô Oda,Mayumi Tanaka,Laurent Vernin,Tony Beck",1999– ,"Follows the adventures of Monkey D. Luffy and his pirate crew in order to find the greatest treasure ever left by the legendary Pirate, Gold Roger. The famous mystery treasure named ""One Piece"".",24,1050,"Animation,Action,Adventure",,24 years,Japan,TV-14,9,One Piece,One Piece: Wan pîsu,
"Bruno Heller,William J. MacDonald,John Milius,Kevin McKidd,Ray Stevenson,Polly Walker",2005–2007,A down-to-earth account of the lives of both illustrious and ordinary Romans set in the last days of the Roman Republic.,52,22,"Action,Drama,Romance",,2 seasons,"United Kingdom,United States",TV-MA,9,Rome,,
"Derek Jacobi,John Hurt,Siân Phillips",1976,"The personal and governmental affairs of the Julio-Claudian dynasty at the beginning of the Roman Empire, as recalled by one of its rulers.",669,13,"Biography,Drama,History",,1 Season,United Kingdom,Not Rated,9,"I, Claudius",,
"Jôji Yanami,Kyle Hebert,Masako Nozawa",1989–1996,"The adventures of Earth's martial arts defender, Son Goku, continue with a new family and the revelation of his alien origins. Now Goku and his allies must defend the planet from an onslaught of new extraterrestrial enemies.",24,291,"Animation,Action,Adventure",,1 Season,,TV-PG,9,Dragon Ball Z,Dragon Ball Z: Doragon bôru zetto,
"Doc Harris,Christopher Sabat,Scott McNeil",1989–1996,"With the help of the powerful Dragonballs, a team of fighters led by the saiyan warrior Goku defend the planet earth from extraterrestrial enemies.",24,277,"Animation,Action,Adventure",,16 seasons,"Japan,United States,Canada",TV-PG,9,Dragon Ball Z,,
"Neal Brennan,Dave Chappelle,Dave Chappelle,Donnell Rawlings,Rudy Rush",2003–2006,Comedian Dave Chappelle hosts this sketch-comedy show that parodies many of the nuances of race and culture.,22,33,"Comedy,Music",,3 seasons,United States,TV-MA,9,Chappelle's Show,,
"Jesse Armstrong,Nicholas Braun,Peter Friedman,Matthew Macfadyen",2018– ,"The Roy family is known for controlling the biggest media and entertainment company in the world. However, their world changes when their father steps down from the company.",60,39,Drama,,3 seasons,United States,TV-MA,9,Succession,,
"Raphael Bob-Waksberg,Will Arnett,Amy Sedaris,Alison Brie",2014–2020,"BoJack Horseman was the star of the hit television show ""Horsin' Around"" in the '80s and '90s, but now he's washed up, living in Hollywood, complaining about everything, and wearing colorful sweaters.",25,77,"Animation,Comedy,Drama",,6 seasons,United States,TV-MA,9,BoJack Horseman,,
"Carlo Bernard,Chris Brancato,Doug Miro,Pedro Pascal,Wagner Moura,Boyd Holbrook",2015–2017,"A chronicled look at the criminal exploits of Colombian drug lord Pablo Escobar, as well as the many other drug kingpins who plagued the country through the years.",49,30,"Biography,Crime,Drama",,3 seasons,"United States,Colombia",TV-MA,9,Narcos,,
"Feyyaz Yigit,Kivanç Kilinç,Ahmet Kürsat Öçalan",2021– ,Yilmaz and Ilkkan are two friends who are constantly fighting each other. Their greatest feature is always being able to do something that will turn their ordinary lives upside down.,30,30,Comedy,,3 seasons,Turkey,,9,As If,Gibi,
"Mark Frost,David Lynch,Kyle MacLachlan,Michael Ontkean,Mädchen Amick",1990–1991,An idiosyncratic FBI agent investigates the murder of a young woman in the even more idiosyncratic town of Twin Peaks.,47,30,"Crime,Drama,Mystery",,2 seasons,United States,TV-MA,9,Twin Peaks,,
"Rowan Atkinson,Tony Robinson,Stephen Fry",1989,,175,6,"Comedy,War",,1 Season,United Kingdom,TV-PG,9,Blackadder Goes Forth,,
"Charlie Brooker,Daniel Lapaine,Hannah John-Kamen,Michaela Coel",2011–2019,"An anthology series exploring a twisted, high-tech multiverse where humanity's greatest innovations and darkest instincts collide.",60,23,"Drama,Mystery,Sci-Fi",,5 seasons,"United Kingdom,United States",TV-MA,9,Black Mirror,,
"Paul Feig,Linda Cardellini,John Francis Daley,James Franco",1999–2000,A high school mathlete starts hanging out with a group of burnouts while her younger brother navigates his freshman year.,44,18,"Comedy,Drama",,1 Season,United States,TV-14,9,Freaks and Geeks,,
"Ali Atay,Serkan Keskin,Osman Sonant",2011–2023,,80,135,"Adventure,Comedy,Drama",,7 seasons,Turkey,TV-PG,9,Leyla and Mecnun,Leyla ile Mecnun,
"Colin Firth,Jennifer Ehle,Susannah Harker",1995,"While the arrival of wealthy gentlemen sends her marriage-minded mother into a frenzy, willful and opinionated Elizabeth Bennet matches wits with haughty Mr. Darcy.",327,6,"Drama,Romance",,1 Season,United Kingdom,TV-PG,9,Pride and Prejudice,,
"John Cleese,Prunella Scales,Andrew Sachs",1975–1979,"Hotel owner Basil Fawlty's incompetence, short fuse, and arrogance form a combination that ensures accidents and trouble are never far away.",30,12,Comedy,,2 seasons,United Kingdom,TV-PG,9,Fawlty Towers,,
"Larry David,Larry David,Cheryl Hines,Jeff Garlin",2000– ,The life and times of Larry David and the predicaments he gets himself into with his friends and complete strangers.,28,111,Comedy,,11 seasons,United States,TV-MA,9,Curb Your Enthusiasm,,
"Jürgen Prochnow,Herbert Grönemeyer,Klaus Wennemann",1985,,293,6,"Drama,War",,1 Season,"West Germany,France,United Kingdom,Italy",TV-MA,9,Das Boot,,
"Graham Chapman,Eric Idle,Terry Jones,Graham Chapman,John Cleese,Terry Gilliam",1969–1974,The original surreal sketch comedy showcase for the Monty Python troupe.,30,45,Comedy,,4 seasons,United Kingdom,TV-14,9,Monty Python's Flying Circus,,
"David Attenborough,Simon Blakeney,Bill Rudolph",2013,,360,7,Documentary,,1 Season,United Kingdom,TV-PG,9,Africa,,
"Mathieu Kassovitz,Martin Sheen,Rudolf Hess",2009,"This six-part series traces the Second World War, from the rise of the Nazis to the surrender of the Japanese, with detailed portraits of key figures.",312,6,"Documentary,History,War",,1 Season,France,TV-MA,9,Apocalypse: The Second World War,Apocalypse: La 2ème guerre mondiale,
"Greg Davies,Alex Horne,Kerry Godliman",2015– ,"Five comedians are set tasks challenging their creativity and wit. The tasks are supervised by Alex Horne but the Taskmaster, Greg Davies, always has the final word.",47,139,"Comedy,Game-Show",,15 seasons,United Kingdom,TV-14,9,Taskmaster,,
"Aaron Sorkin,Martin Sheen,Rob Lowe,Allison Janney",1999–2006,Inside the lives of staffers in the West Wing of the White House.,44,155,Drama,,7 seasons,United States,TV-14,9,The West Wing,,
"Arunabh Kumar,Naveen Kasturia,Arunabh Kumar,Jitendra Kumar",2015–2022,A story of trials and tribulations of four young entrepreneurs who quit their day jobs in order to pursue their start up venture.,40,10,"Comedy,Drama",,2 seasons,India,TV-MA,9,TVF Pitchers,,
"David Crane,Marta Kauffman,Jennifer Aniston,Courteney Cox,Lisa Kudrow",1994–2004,Follows the personal and professional lives of six twenty to thirty year-old friends living in the Manhattan borough of New York City.,22,235,"Comedy,Romance",,10 seasons,United States,TV-14,9,Friends,,
"Rob McElhenney,Glenn Howerton,Charlie Day,Rob McElhenney,Kaitlin Olson",2005– ,Five friends with big egos and small brains are the proprietors of an Irish pub in Philadelphia.,22,165,Comedy,,15 seasons,United States,TV-MA,9,It's Always Sunny in Philadelphia,,
"John Oliver,David Kaye,Ryan Barger",2014– ,Former Daily Show host and correspondent John Oliver brings his persona to this weekly news satire program.,30,318,"Comedy,History,News",,9 seasons,United States,TV-MA,9,Last Week Tonight with John Oliver,,
"Ava DuVernay,Asante Blackk,Caleel Harris,Ethan Herisse",2019,Five teens from Harlem become trapped in a nightmare when they're falsely accused of a brutal attack in Central Park. Based on the true story.,296,4,"Biography,Crime,Drama",,1 Season,United States,TV-MA,9,When They See Us,,
"Jeremy Clarkson,Kaleb Cooper,Charlie Ireland",2021– ,Follow Jeremy Clarkson as he attempts to run a farm in the countryside.,45,17,"Documentary,Comedy,Reality-TV",,2 seasons,United Kingdom,TV-PG,9,Clarkson's Farm,,
"Alex Hirsch,Jason Ritter,Alex Hirsch,Kristen Schaal",2012–2016,"Twin siblings Dipper and Mabel Pines spend the summer at their great-uncle's tourist trap in the enigmatic Gravity Falls, Oregon.",23,40,"Animation,Action,Adventure",,2 seasons,United States,TV-Y7,9,Gravity Falls,,
"Nathan Fielder,Michael Koman,Nathan Fielder,Anthony Filosa,Salomon Flores",2013–2017,"Nathan Fielder uses his business degree and life experiences to help real small businesses turn a profit. But because of his unorthodox approach, Nathan's genuine efforts to do good often draw real people into an experience far beyond what they signed up for.",30,32,"Documentary,Comedy",,4 seasons,United States,TV-14,9,Nathan for You,,
"Hajime Yatate,Kôichi Yamadera,Unshô Ishizuka,Megumi Hayashibara",1998–1999,The futuristic misadventures and tragedies of an easygoing bounty hunter and his partners.,24,26,"Animation,Action,Adventure",,1 Season,Japan,TV-14,9,Cowboy Bebop,Kaubôi bibappu,
"Noah Hawley,Billy Bob Thornton,Martin Freeman,Allison Tolman",2014– ,"Various chronicles of deception, intrigue and murder in and around frozen Minnesota. Yet all of these tales mysteriously lead back one way or another to Fargo, North Dakota.",53,42,"Crime,Drama,Thriller",,5 seasons,United States,TV-MA,9,Fargo,,
"Pratik Gandhi,Shreya Dhanwanthary,Hemant Kher",2020,"Set in 1980s and '90s Bombay, it follows the life of Harshad Mehta, a stockbroker who took the stock market to dizzying heights and his catastrophic downfall.",54,10,"Biography,Crime,Drama",,1 Season,India,TV-14,9,Scam 1992: The Harshad Mehta Story,,
"Haluk Bilginer,Cansu Dere,Metin Akdülger",2018,A man diagnosed with Alzheimer's decides to punish criminals.,65,12,"Crime,Drama,Mystery",,1 Season,Turkey,TV-MA,9,Persona,Sahsiyet,
"Peter Coyote,Huy Duc,James Willbanks",2017,A comprehensive history of the United States' involvement in the bitterly divisive armed conflict in Southeast Asia.,990,10,"Documentary,History,War",,1 Season,United States,TV-MA,9,The Vietnam War,,
"Bob Kane,Eric Radomski,Bruce Timm,Kevin Conroy,Loren Lester,Efrem Zimbalist Jr.",1992–1995,The Dark Knight battles crime in Gotham City with occasional help from Robin and Batgirl.,23,85,"Animation,Action,Adventure",,4 seasons,United States,TV-PG,9,Batman: The Animated Series,,
"Rod Serling,Rod Serling,Robert McCord,Jay Overholts",1959–1964,"Ordinary people find themselves in extraordinarily astounding situations, which they each try to solve in a remarkable manner.",51,156,"Drama,Fantasy,Horror",,5 seasons,United States,TV-PG,9,The Twilight Zone,,
"Hailee Steinfeld,Kevin Alejandro,Jason Spisak",2021– ,"Set in utopian Piltover and the oppressed underground of Zaun, the story follows the origins of two iconic League champions-and the power that will tear them apart.",41,10,"Animation,Action,Adventure",,1 Season,"United States,France",TV-14,9,Arcane,Arcane: League of Legends,
"Mark Gatiss,Steven Moffat,Benedict Cumberbatch,Martin Freeman,Una Stubbs",2010–2017,A modern update finds the famous sleuth and his doctor partner solving crime in 21st-century London.,88,15,"Crime,Drama,Mystery",,4 seasons,"United Kingdom,United States",TV-14,9,Sherlock,,
"Joe Brumm,David McCormack,Melanie Zanetti,Ninthe van Schie",2018– ,The slice-of-life adventures of an Australian Blue Heeler Cattle Dog puppy as she has fun with her family and friends in everyday situations.,7,161,"Animation,Family",,3 seasons,"Australia,United Kingdom",TV-Y,10,Bluey,,
"Michael Jordan,Phil Jackson,Scottie Pippen",2020,"Charting the rise of the 1990s Chicago Bulls, led by Michael Jordan, one of the most notable dynasties in sports history.",491,10,"Documentary,Biography,History",,1 Season,United States,TV-MA,9,The Last Dance,,
"David Benioff,D.B. Weiss,Emilia Clarke,Peter Dinklage,Kit Harington",2011–2019,"Nine noble families fight for control over the lands of Westeros, while an ancient enemy returns after being dormant for millennia.",57,73,"Action,Adventure,Drama",,8 seasons,"United States,United Kingdom",TV-MA,9,Game of Thrones,,
"Hiromu Arakawa,Kent Williams,Iemasa Kayumi,Matthew Leonhart",2009–2010,Two brothers search for a Philosopher's Stone after an attempt to revive their deceased mother goes awry and leaves them in damaged physical forms.,24,68,"Animation,Action,Adventure",,1 Season,Japan,TV-14,9,Fullmetal Alchemist: Brotherhood,Hagane no renkinjutsushi,
David Attenborough,2019,"Documentary series focusing on the breadth of the diversity of habitats around the world, from the remote Arctic wilderness and mysterious deep oceans to the vast landscapes of Africa and diverse jungles of South America.",403,8,Documentary,,1 Season,"United States,United Kingdom",TV-G,9,Our Planet,,
"Laurence Olivier,Averell Harriman,Albert Speer",1973–1974,,52,26,"Documentary,History,War",,1 Season,United Kingdom,TV-PG,9,The World at War,,
"Ann Druyan,Carl Sagan,Steven Soter,Carl Sagan,Jaromír Hanzlík,Jonathan Fahn",1980,Astronomer Carl Sagan leads us on an engaging guided tour of the various elements and cosmological theories of the universe.,780,13,Documentary,,1 Season,"United States,United Kingdom",TV-PG,9,Cosmos,,
"Oprah Winfrey,David Attenborough,Doug Allan",2009,David Attenborough's legendary BBC crew explains and shows wildlife all over planet earth. From giving an overview of the challenges facing life to hunting the deep sea and various major evolutionary groups of creatures.,473,11,Documentary,,1 Season,"United Kingdom,United States,Greece,Italy,Germany",TV-G,9,Life,,
"David Chase,James Gandolfini,Lorraine Bracco,Edie Falco",1999–2007,"New Jersey mob boss Tony Soprano deals with personal and professional issues in his home and business life that affect his mental state, leading him to seek professional psychiatric counseling.",55,86,"Crime,Drama",,6 seasons,United States,TV-MA,9,The Sopranos,,
"Dan Harmon,Justin Roiland,Justin Roiland,Chris Parnell,Spencer Grammer",2013– ,An animated series that follows the exploits of a super scientist and his not-so-bright grandson.,23,61,"Animation,Adventure,Comedy",,6 seasons,United States,TV-14,9,Rick and Morty,,
"Neil deGrasse Tyson,Christopher Emerson,Keythe Farley",2014,An exploration of our discovery of the laws of nature and coordinates in space and time.,557,13,Documentary,,1 Season,United States,TV-PG,9,Cosmos: A Spacetime Odyssey,,
"Michael Dante DiMartino,Bryan Konietzko,Dee Bradley Baker,Zach Tyler Eisen,Mae Whitman",2005–2008,"In a war-torn world of elemental magic, a young boy reawakens to undertake a dangerous mystic quest to fulfill his destiny as the Avatar, and bring peace to the world.",23,62,"Animation,Action,Adventure",,3 seasons,United States,TV-Y7-FV,9,Avatar: The Last Airbender,,
"Craig Mazin,Jessie Buckley,Jared Harris,Stellan Skarsgård",2019,"In April 1986, an explosion at the Chernobyl nuclear power plant in the Union of Soviet Socialist Republics becomes one of the world's worst man-made catastrophes.",330,5,"Drama,History,Thriller",,1 Season,"United States,United Kingdom",TV-MA,9,Chernobyl,,
"David Simon,Dominic West,Lance Reddick,Sonja Sohn",2002–2008,"The Baltimore drug scene, as seen through the eyes of drug dealers and law enforcement.",59,60,"Crime,Drama,Thriller",,5 seasons,United States,TV-MA,9,The Wire,,
"Scott Grimes,Damian Lewis,Ron Livingston",2001,"The story of Easy Company of the U.S. Army 101st Airborne Division and their mission in World War II Europe, from Operation Overlord to V-J Day.",594,10,"Drama,History,War",,1 Season,"United States,United Kingdom",TV-MA,9,Band of Brothers,,
"David Attenborough,Peter Drost,Russell Boulter",2017–2022,"David Attenborough returns to the world's oceans in this sequel to the acclaimed documentary filming rare and unusual creatures of the deep, as well as documenting the problems our oceans face.",364,8,Documentary,,1 Season,"United Kingdom,United States,China,France,Germany",TV-G,9,Blue Planet II,,
"Sigourney Weaver,David Attenborough,Nikolay Drozdov",2006,"Emmy Award-winning, 11 episodes, five years in the making, the most expensive nature documentary series ever commissioned by the BBC, and the first to be filmed in high definition.",538,11,Documentary,,1 Season,United Kingdom,TV-PG,9,Planet Earth,,
"Vince Gilligan,Bryan Cranston,Aaron Paul,Anna Gunn",2008–2013,A chemistry teacher diagnosed with inoperable lung cancer turns to manufacturing and selling methamphetamine with a former student in order to secure his family's future.,49,62,"Crime,Drama,Thriller",,5 seasons,United States,TV-MA,10,Breaking Bad,,
